to write something down,apuntar alguna cosa
a biased article,un article esbiaixat (que no és objectiu)
lately,darrerament
I don't feel well,no em trobo bé
genetics,genètica
to notice,adonar-se
to take place,"succeïr, tenir lloc"
bargain,ganga
breadwinner,el que es guanya el pa (el que treballa)
gate ,tanca (de jardí)
ant,formiga
to blackmail,fer xantatge
to advertise,publicitar
to brainstorm,fer una pluja d'idees
brackets,parèntesis
besides,a més (connector) 
fortunately,"per sort, afortunadament"
to look up a word,buscar una paraula al diccionari
to cross something out,"ratllar alguna cosa (""tachar"")"
to be named after somebody,ser batejat amb un nom en record d'algú
censorship,censura
fake,"fals, no autèntic"
to broadcast,emetre
apparently,pel que sembla (connector)
to bring somebody up,"educar, criar algú"
tabloid press,premsa sensacionalista
to take an overdose,prendre una sobredosi
to have flu,tenir grip
to have a hangover,tenir ressaca
chemistry,química
biology,biologia
engineering,enginyeria
research,recerca
guinea pig,conillet d'Índies
the heir to the throne,l'hereu al tron
kingdom,regne
to run away,fugir
to surrender,rendir-se
Prime Minister,primer ministre
political party,partit polític
left-wing party,partit d'esquerres
right-wing party,partit de dretes
republic,república
dictatorship,dictadura
citizen,ciutadà
election,eleccions
in fashion,de moda
out of fashion,passat de moda
sales,rebaixes
smart,elegant
silk,seda
wool,llana
leather,"pell, cuir"
patterned,estampat
plain,"llis, sense estampats"
long-sleeved,de màniga llarga
tight,estret
loose,"ample, folgat"
high-heeled,amb taló d'agulla
degree,carrera universitària
scholarship,beca d'estudis
principal,director d'una escola
subject,assignatura
wise,"savi, assenyat"
effortless,"amb facilitat, sense esforç"
income,ingressos
pay,"paga, sou"
expenses ,despeses
to work out,calcular
container,recipient
fish tank,peixera
can,llauna
bin,paperera
to sew,cosir
bucket,galleda
mop,pal de fregar
broom,escombra
to dial,marcar (un número de telèfon)
to groan,"somiquejar, rondinar"
wail,gemec
belongings,pertinences
paintbrush,"pinzell, brotxa"
pottery,ceràmica
lens,"lent, objectiu (fotogràfic)"
lust,luxúria
to pick on somebody,fer la guitza a algú
to suit,ser adequat
joy,"goig, joia"
to sink,enfonsar-se
to jerk,sacsejar
race,cursa
lawnmower,tallagespa
swing,gronxador
slide,tobogan
soap opera,telenovel·la
to whistle,xiular
paperback,llibre de butxaca
leaflet,"fullet, prospecte"
gossip,xafardeig
cliché ,"tòpic, clixé"
to beseech,"suplicar, pregar"
speech,discurs
mailbox,bústia
airtight,hermètic (d'aire)
watertight,hermètic (d'aigua)
sack,sac
to hitch-hike,fer autoestop
roughly,més o menys
to erect,erigir
cheetah,guepard
fierce,ferotge
flea,puça
puppy,cadell
to bark,lladrar
to hover,planejar
cod,bacallà
hill,turó
seaside,costa
outskirts,afores (d'una ciutat)
weather,temps meteorològic
chilly,"fresc, fred"
watery,aigualit
shadowy,indefinit
to twinkle,brillar intermitentment
Easter,Pasqua
previous,"previ, anterior"
star sign,sigen del zodíac
everlasting,perdurable
state of affairs,estat de la qüestió
novice,novell
remainder,"sobra, resta"
to halt,aturar-se
apologize,"disculpar-se, demanar perdó"
ashamed,avergonyit
remorse,remordiment
guilt,culpa
appalling,espantós
on my own,"jo sol, pel meu compte"
to fancy,encapritxar-se de
practical joke,"broma pesada, innocentada"
laughter,riallades
fitting,"adient, convenient"
thankful,agraït
spear,llança
air marshall,general de brigada
unskilled,no qualificat
demanding,"dur, exigent"
knuckle,"artell, nus del dit"
ginger,cabell ros vermellós
auburn,cabell castany rogenc
dustman,escombriaire
to get rid of,desfer-se de
needless,innecessari
the rim of a glass,la vora d'un got
boundary,límit
alike,"semblants, iguals"
crooked line,línia torta
it was a mild day,feia una temperatura suau
to rot,podrir-se
twin,bessó
match,llumí
lighter,encenedor
to christen,batejar
granny,iaia
folk,gent
chap,"home, tipus"
moody,que té canvis freqüents d'humor
proud,"satisfet, orgullós"
to sneer at,mofar-se de
grape,raïm
cabbage,col
flesh,carn humana
veal,carn de vedella
tasty,gustós
sauce,salsa
to nibble,"picar, rosegar (menjar poc)"
mouthful,queixalada
to grate,ratllar (per ex. formatge)
to drain,escórrer
napkin,tovalló
tablecloth,estovalles
