xenophòbia,xenophobia
promoure,to promote
emprenyar-se,to get angry
en comptes de,instead of
inserir,to insert
tenir ganes de,to look forward to
acostumar-se a,to get used to
trenar,"to weave, plait"
trapella,mischievous
robar a,to steal
sortir-se'n,to sort out
tornar-s'hi,"to defend, hit back"
arrambar,to move closer
atabalar,to confuse
un desgast,a waste
avenir-se,to agree
avenir-se amb algú,to get along with someone
ofegar-se,"to be stifled, drowned"
remuntar-se,to date back to
preuat,"precious, valued"
avalar,to support
de primera má,first hand
amenesat,threatened
el parany,the trap
el significat,the meaning
reticent,reluctant
involucrar-se en,to be involved in
afusellar,to shoot
atrevir-se,to dare
gosar,to dare
renyir (eix),to tell off
lliurar,"to deliver, submit"
debatre,to discuss
soca-rel,through and through
interactuar,to interact
masclista,chauvinist
retransmettre,to broadcast
fer bona pinta,to look good
malauradament,unfortunately
vigent,"in force, in use"
cabdal,"main, principle"
consecució,"realisation, attainment"
mundial,world
atorgar,"to grant, award"
parer,opinion
esperonar algú per a,to spur someone on to 
aturar,to stop
somiatruita,daydreamer
cregut,"vain, arrogant"
humil,modest
penedir-se,to regret something
el pedregar,obstacle
vulnerar,to violate
un pou,a well
estrènyer,to tighten
encomiable,praise worthy
assabentar-se (de),to learn
una condemna,a sentence
cautelar,precautionary
coure,to bake
lloar,to praise
enfilar-se,to climb
guspira,spark
lleial,loyal
esforzar-se,to make an effort
una ingerència,an interference
envair,to invade
grinyolar,to fix
un acudit,a joke
assequible,achievable
l'allotjament,accommodation
arrencar,to start
arrossegar,to drag
rendir (eix),to perform
un repte,a challenge
la llar,the home
disfrassar-se,to dress up
l'andromina,junk
el calçot,spring onion
l'espelma,the candle
concorregut,crowded
apallissar,to beat up
punxar,"to stab, to dj"
enclotat,sunken
el desemparament,abondoned
esgarrapar,to snatch
la taxa,the fee
els renecs,swearwords
esquivar,to dodge
gruixut,"fat, heavy"
groller,rude
la locució,speech
assolir,to reach
una ressenya,a review
trava,obstacle
un matis,a nuance
collir,to pick
abordar,to tackle
el marísc,seafood
