"botiga, botiga","shop, store"
com aquest,Like this
la gran,the big
la petita,the small
ho sento (excusa),sorry (excuse)
puc demanar?,can I ask?
Què és?,What is it?
Estic buscant,I am just looking
M'agradaria comprar,I'd like to buy
necessito,i need
mort,dead
celebració,celebration
cridar,to call
a agradar,to like
per argumentar,to argue
germanastra,half-sister
dona,wife
per augmentar de pes,to gain weight
per compensar,to make up
parlar,to speak
joc (el menjar),game (food)
gallina de Guinea,guinea fowl
mitjà rar (carn),medium rare (meat)
deliciós,delicious
exquisit,exquisite
repugnant,disgusting
immenjable,inedible
foie gras,foie gras
molt rares (carn),very rare (meat)
ben fet (la carn),well done (meat)
paquet,packet
tabac,tobacco
vacances,vacation
menyspreu,contempt
per evitar,to avoid
esperar,wait
gemegar,moan
"manera, de manera","way, manner"
"naturalesa, caràcter","nature, character"
personalitat,personality
medicina,medicine
recepció,reception
prova,test
"tardor, caiguda","fall, drop"
esdeveniment,event
per sobreviure,to survive
visitant,visitor
pacient,patient
metge,medical
témer,to fear
casa,house
"apartament, pis","apartment, flat"
en,at
dormitori,bedroom
"habitacions (de les reunions, l'ensenyament, de treball)","room (for meetings, teaching, operating)"
cuina,kitchen
sala d'estar,living room
soterrani,basement
"pis, nivell, arran de","floor, level, storey"
primer,first
jo hauria,I should
Hauria d'anar a Barcelona,I should go to Barcelona
He de beure aigua,I should drink water
alguna cosa,something
El cafè està calenta,The coffee is hot
dono,I give
Li donem una cervesa,We give him a beer
El vi és deliciós,The wine is delicious
És el vi de John,It is John's wine
A qui he de donar-li a?,Whom should I give it to?
sentit,ear
pèl,hair
ull,eye
dit,finger
esquena,back
marca de la bellesa,beauty mark
per mirar,to look
per observar,to observe
ignorar,to ignore
com,like
l'article,the article
l'illa,the island
el castell,the castle
el nen,the child
l'amor,the love
la mida,the size
el rei,the king
per acabar,to end
Mandrós,Lazy
mal,evil
sorollós,noisy
un accident,an accident
enutjat,angry
Té fam,He is hungry
Ell té set,He is thirsty
professor,teacher
Ell és el meu mestre,He is my teacher
ella és,she is
Ella és bella,She is beautiful
És cert,It is true
per riure,to laugh
per trobar,to find
tela,fabric
estil,style
Butxaca,pocket
"fins, caixa registradora","till, cash register"
compra,purchase
venda,sale
per adquirir,to acquire
consumidor,consumer
ocell,bird
pedra,stone
fusta,wood
vent,wind
costa,coast
illa,island
"superfície, àrea","surface, area"
ombra,shade
clima,climate
lloc,site
paradís,paradise
oficina de correus,post office
farmàcia,pharmacy
barri vermell,red light district
clínica GUM,GUM clinic
club,club
cabaret,cabaret
supermercat,supermarket
fleca,bakery
carnisseria,butcher shop
el químic,the chemist
a dormir,to sleep
massa tard,too late
Estic malalt,I am unwell
"cal, ha de","it is necessary, you must"
em pots ajudar?,can you help me?
a la resta,to rest
trencat,broken
es arreglin?,is it fixed?
ràpid,fast
un polític,a politician
un actor,an actor
actriu,actress
un veterinari,a veterinarian
veterinari,veterinary
conductor,driver
un entrenador,a trainer
un pianista,a pianist
