la alçada,height
la amplada,width
la llargada,length
el pes,weight
la pintura,painting
passar,to happen
endur-se,to take away
per sort,luckily
ferit,injured
pobre,poor
espantat,frightened
valent,brave; valient
l'enguany,deception
el trànsit,traffic
l'incendi,fire
tenir raó,to be right
com sempre,as usual
nedar,to swim
afeccionar-se,to grow fond
actualment,at the moment
aprendre,to learn
passar estona,to spend time
els escacs,chess
fart,fed up
fer calor,to be hot
més,more
menys,less
el rellotge,the clock
l'hora,the hour
el minut,the minut
el segon,the second
ara,the now
mitjanit,midnight
la setmana,the week
l'estació,the season
l'any,the year
Com estàs?,How are you?
així així,So-so
Com et dius?,What's your name?
D'on ets?,Where are you from?
Soc de ...,I'm from ...
també,also
ho sento,I'm sorry (h...)
car,expensive
barat,cheap
bo,good
dolent,bad
nou,new
vell,old
el / la periodista,journalist
el cuiner,cook
l'advocat,lawyer
el foc,fire
cuinar,to cook
defensar,to defend
conduir,to drive
perquè,because
no gaire,not so much; not often
marxar,to leave
escombrar,to sweep
fals,false
migdia,midday
sortir amb,to go out with (somebody)
les ratlles,stripes
les galtes,cheeks
l'alè,breath
s'empassar,to swallow
roncar,to snore
el be,sheep
el regne,kingdom
l'argent,silver
l'or,gold
demanar,to ask; to demand
la cova,cave
el vespre,the evening
el préssec,the peach
la farina,the flour
el paquet,the bag
el parell,the couple
el tall,the piece; the slice
una mica menys,a little bit less
tot plegat,all together
el correu,the post office
el supermercat,the supermarket
saber,to know
vendre,to sell
fer,to make / to do
mirar,to look at
salvatge,wild
buscar,to search for
trobar,to find
per cert,by the way; certainly
llegir,to read
venir,to come
anar,to go
el bolet,the wild mushroom
fregir,to fry
la fe,belief; faith
l'església,church
la muntanya,mountain
un pont,bridge
permetre,to allow
trencar,to break
portar,to bring
poder,to be able to
cancel·lar,to cancel
tossir,to cough
tallar,to cut
emplenar,to fill
caure,to fall
arrreglar,to fix
oblidar,to forget
donar,to give
fer mal,to hurt
sense dubte,definitely
la badia,bay
preciós,lovely; beautiful
la bústia,mailbox
la indicació,sign
caminar,to walk
treure,to take out; to withdraw
el/la vianant,pedestrian
a veure ...,let's see...
al capdavall,to (at) the very bottom of
quedar,to arrange to meet
deure,to owe; must
a disposar!,you are welcome
pujar,to go up
amunt,upwards
avall,downwards
endavant,ahead; forward
endarrere,backwards
durant,during
la infància,childhood
voltar,to go (travel)
com que,as
canviar,to change
el/la metge/-essa,doctor
la festa d'aniversari,birthday party
plorar,to cry
boirós,foggy
fresc,"cool (weather, temp)"
ennuvolat,cloudy
el temps,weather
la pastisseria,pastry store
l'ajuntament,town hall
el sogre,father-in-law
uns pocs,a few
alguns,some
molt,much; very; many
pocs,few
equivocat,wrong
mullat,wet
feble,weak; feeble
lent,slow
correcte,correct
tranquil,quiet
poderós,powerful
sorollós,noisy
barat,inexpensive; cheap
pesat,heavy
complet,full
fàcil,easy
a prop,close; near
lleig,ugly
fluix,weak
dur,hard
fort,strong
dolç,sweet
salat,salty
picant,spicy
amarg,bitter
agre,sour
Quin temps fa?,What's the weather like?
Com va això?,How are things?
molt de gust,nice to meet you
igualment,likewise
feliç,happy
benvingut,welcome
l'amor,the love
el llibre,the book
el menjar,the food
el pollastre,the chicken
la taronja,the orange
