admission,"when someone is given permission to enter somewhere or to become a member of a club, university, etc"
back,to (cause to) move backwards
break with tradition,"to intentionally not continue doing something that is normal, expected or traditional"
brief,to give someone instructions or information about what they should do or say
chew,"to crush food into smaller, softer pieces with the teeth so that it can be swallowed"
cliché,something that people have said or done so much that it has become boring or has no real meaning
degree,an amount or level of something
expenses,"money that you spend when you are doing your job, that your employer will pay back to you"
follow suit,to do the same thing as someone else
gimmicky,"something that is used only to get people’s attention, especially to make them buy something"
implement,"to make a law, system, plan, etc start to happen or operate"
keep hold of sth,to continue to hold something firmly with your hands or arms
keep a promise,to do what you have told someone that you would do
mark,"a number or letter that is written on a piece of work, saying how good the work is"
mark my words,something that you say when you tell someone about something that you are certain will happen in the future
mark time,to do little while waiting for something that is going to happen
meet your match,to compete unsuccessfully with someone
meet a deadline,to succeed in doing something by the time or day on which it has to be done
obstacle,something that makes it difficult for you to go somewhere or to succeed at something
overtime,(time spent working) after the usual time needed or expected in a job
PA (personal assistant),"someone whose job is helping someone in a higher position, especially writing letters, arranging meetings, and making telephone calls"
personal statement,"a piece of formal, persuasive writing in which someone proposes him or herself as a suitable candidate for a course of study"
polished,showing great skill
put sth/sb forward,"to state an idea or opinion, or to suggest a plan or person, for other people to consider"
quarrel,an argument
resilience,"the strength to get better quickly after damage, illness, shock, etc"
reluctant,not wanting to do something
running,happening on a particular number of regular occasions
for sb’s sake,in order to help or bring advantage to someone
scope,"the range of a subject covered by a book, programme, discussion, class, etc."
set (a clock),to get something ready so that it comes into operation or can be used
set the table,"to put a cloth, knives and forks, etc. on the table in preparation for a meal"
tight,"If time or money is tight, there is only just enough of it."
tip,a place where people take things that they want to get rid of
on track,making progress and likely to succeed
urge,to strongly advise an action
adaptable,able to change to suit different situations or uses
advisee,someone who receives advice
advisor,someone whose job is to give advice about a subject
ask sb out,"to invite someone to come with you to a place such as a restaurant, especially as a way of starting a romantic relationship"
associate,a high-ranking member of a law firm
awkward,difficult or causing problems
brand,to say that you think someone is as stated
bridge the gap,to connect two things or to make the difference between them smaller
brighten up,to become lighter because the sun is shining
bully,someone who intentionally frightens a smaller or weaker person
call the shots,to be in the position of being able to make the decisions which will influence a situation
complimentary,praising or expressing admiration for someone
concept,an idea or principle
constantly,all the time or often
corporate,relating to a large company or group
deliver the goods,to produce what is wanted
demean,to cause someone to become less respected
destined,intended for
disturbance,"something that interrupts what you are doing, especially something loud or annoying"
downward spiral,"when a price, etc. is becoming lower, or when a situation is getting worse and is difficult to control because one bad event causes another"
edgy,nervous
emasculate,to make a man feel less male by taking away his power and confidence
embrace,"to accept new ideas, beliefs, methods, etc in an enthusiastic way"
enhance,to improve something
epoch,a long period of time in history
expertise,skill
fiercely,very strongly or powerfully
flourishing,successful growth or development
hang out with,to spend a lot of time with someone
hog the limelight,to get more attention than anyone or anything else in a situation
hound,to follow someone and annoy them by asking questions or taking photographs
in the running,having a reasonable chance of winning
intrude,to become involved in a situation which people want to be private
it’s high time,"If it is high time that someone did something, it should have been done sooner or a long time ago."
lay into sb,to attack or criticise someone
light-hearted,not serious
limelight,public attention and interest
my lips are sealed,said when you are promising to keep a secret
mediocre,not good in quality
moving,causing strong feelings of sadness or sympathy
to narrow,to make something less wide
notion,an idea or belief
on the spot,in the place where something happens
over the top,"too extreme and not suitable, or demanding too much attention or effort, especially in an uncontrolled way"
over the hill,describes someone who is old and no longer useful or attractive
pace,the speed at which someone or something moves or does something
paparazzi,photographers whose job is to follow famous people and take photographs of them for newspapers and magazines
pick on sb,to choose a person and criticize or treat them unfairly
privacy,when you are alone and people cannot see or hear what you are doing
proposition,"an offer or suggestion, usually in business"
in the public eye,famous and written about in newspapers and magazines and seen on television
reserved,not wanting to show what you are thinking or feeling
roll up your sleeves,to prepare for hard work
roller coaster,"a situation which changes from one extreme to another, or in which a person’s feelings change from one extreme to another"
sacrifice,"something valuable that you give up in order to achieve something, or the act of giving it up"
seminar,"a meeting of a group of people with a teacher or expert for training, discussion, or study of a subject"
see the light,"If you see the light, you suddenly understand something you didn’t understand before."
skeletons in the cupboard,embarrassing secrets
smitten,loving someone or liking something very much
snap,"to suddenly be unable to control a strong feeling, especially anger"
stem from,to start or develop as the result of something
struggling,unsuccessful but trying hard to succeed
subsequent,happening after something else
take the biscuit,You say that something or someone (really) takes the biscuit when they have done something that you find extremely annoying or surprising.
take yourselft (too) seriously,to consider yourself to be important or dangerous and worth attention or respect
tease,"to laugh at someone or say unkind things to them, either because you are joking or because you want to upset them"
test the water,to find out what people’s opinions of something are before you ask them to do something
