ambition,desire to do or achieve sth
bit,small piece
charm,sth believed to have magic powers
co-ordination,organising the activities of groups so that they work together efficiently
discipline,"obeying laws or rules, working in a controlled way"
fabric,"cloth, material"
glove,piece of clothing which covers your hands and wrists
intelligence,"the ability to understand, think and learn quickly"
mango,a tropical fruit
noodle,ribbon-like strip of pasta
pipeline,"a large pipe used for carrying oil or gas over a long distance, often underground"
referee,an official who controls a sports match
scales,machine or device used for weighing people or things
social worker,sb whose job is to give help and advice to people who have serious problems
supplement,"a pill containing nutritious elements, taken in order to improve your health or diet ; something extra"
vacation,holiday
assure,make sb certain that sth will happen
confront,"deal with sth, face"
eliminate,"remove sth completely, get rid of"
haste,act quickly
limit,restrict
post,mail
replace,take the place of sth
starve,suffer greatly from lack of food
witness,see sth happen
bound,tied up securely
eccentric,sb whose habits or opinions are different from those of most people
high-pitched,a high tone of voice
obvious,easy to see or understand
skillful,doing sth very well
unlikely,not very probable to happen
onwards,"moving forward, continuing"
appetiser,"food served at the beginning of a meal, starter"
breakthrough,significant development or progress
coach,trainer
criterion,a standard by which sth can be judged
earplugs,small pieces of soft material which are put into your ear to protect you from noise or water
fence,a wooden or metal barrier between two places
gums,"firm pink flesh inside the mouth, out of which the teeth grow"
justice,fairness in the way people are treated
masterpiece,an extremely good work of art
opportunity,"a situation in which it is possible to do sth, chance"
pouch,a pocket of skin on an animal's stomach in which its baby grows (e.g. a kangaroo)
relief,feeling glad because sth unpleasant has not happened or is no longer happening
sequence,a series of things or events occurring one after another in a particular order
stable,a building on a farm where animals are kept
tactic,a method used in order to achieve sth
vet,a doctor for animals
blame,believe that sb or sth is responsible for sth bad
create,"invent, design or make sth new"
erode,"crack and break, becoming gradually destroyed"
ignore,pay no attention to sb or sth
mislead,give sb a wrong idea about sth
prohibit,"forbid or make sth illegal, ban"
restrict,prevent sb from acting freely
surrender,not resist or give up the effort to win
hang around,spend time somewhere or with sb
comforting,making you feel less worried or unhappy
excessive,more than necessary
improbable,unlikely to be true or to happen
picturesque,"attractive, interesting and unspoiled place"
spectacular,"impressive, breathtaking, fantastic"
voluntary,"sth done or performed willingly, (without pay)"
seldom,rarely
approval,"approving of sth, believing that it is acceptable"
breathalyser,a bag or electronic device used by the police to test whether a driver has drunk too much alcohol
command,order
crowning,placing a crown on one’s
eating grounds,fields where animals can feed
firewood,wood cut into pieces so that it can be burned on a fire
harbour,"area of the sea at the coast, partly enclosed by land or strong walls and safe for boats"
knot,tying a string or rope upon itself
measure,action carried out by the authorities in order to achieve a particular result
outer space,the area outside the earth’s atmosphere where other planets are
precaution,action taken to avoid a dangerous or undesirable event
resort,a place where many people go for holidays
shape,figure or outline of sth
