adventurous,atrevido
ambitious,ambicioso
artistic,artístico
bossy,mandón
bother,molestar
catch up on,ponerse al corriente
cautious,prudente
challenging,desafiante
cheeky,descarado
childish,infantil
client,cliente
competitive,competitivo
dash,carrera
depressing,deprimente
emotional,emocionado
energetic,energético
exhausted,exhausto
fascinating,fascinante
foolish,insensato
grab,agarrar
greedy,avaricioso
head for,dirigirse a
irritating,irritante
make up for,compensar
optimistic,optimista
peak,cima
query,duda
refreshed,como nuevo
roll,rodar
schedule,calendario
sensitive,sensible
sympathetic,simpatético
task,tarea
thoughtful,atento
unsurprisingly,como es lógico
academic,académico
acquire,adquirir
commerce,comercio
consultant,asesor
current,actual
demanding,exigente
double,doblar
duty,deber
earnings,ingresos
gain,ganar
graduate,licenciado
highly,altamente
institution,institución
inventor,inventor
lecturer,profesor universitario
management,dirección
manufacturing,industria
motivated,motivado
novelist,novelista
operator,operador
overtime,horas extras
position,puesto
production,producción
qualify,titularse
roughly,aproximadamente
seminar,seminario
shortly,poco (después)
supplier,suministrador
take on,asumir
take out a loan,pedir un préstamo
take over (a company),absorber
take up (a job),asumir
thesis,tesis
tutor,tutor
unlike,a diferencia de
competitive,competitivo
diving,buceo
eat up,comérselo todo
facility,instalación
helmet,casco
illness,enfermedad
infection,infección
injury,lesión
medal,medalla
pitch,terreno de juego
slope,pendiente
smell,olor
speak up,hablar más alto
spectator,espectador
sum up,resumir
taste,sabor
thermometer,termómetro
touch,tacto
treatment,tratamiento
use up,gastar
wound,herida
bargain,ganga
be out of,quedarse sin
brand,marca
casual,informal
catalogue,catálogo
consumer,consumidor
debit card,tarjeta de débito
designer label,marca de moda
exchange,descambiar
export,exportar
false,falso
genuine,auténtico
guarantee,garantía
ideal,ideal
import,importar
in stock,en existencias
loose,suelto
massive,masivo
on offer,en oferta
out of stock,agotado
purchase,compra
reflect,reflejar
run out,agotarse
sale,rebajas
sales,ventas
sell out,agotar
shopkeeper,comerciante
sophisticated,sofisticado
stunning,despampanante
suit,sentar
throw out,tirar
tight,estrecho
trolley,carrito
try out,probar
turn out,salir
vivid,intenso
absorb,absorber
anti-virus,antivirus
application,aplicación
atom,átomo
bookmark,marcador
breakthrough,gran avance
broadband,banda ancha
browse,explorar
bug,error
carbon dioxide,dióxido de carbono
carbon monoxide,monóxido de carbono
casually,con toda tranquilidad
cell,célula
charge,recargar
crash,bloquearse
data,dato
database,base de datos
desktop,escritorio
display,visualizar
element,elemento
faint,tenue
instant messaging,mensajería instantánea
interact,interactuar
launch,lanzar
prove,probar
run,ejecutar
satellite,satélite
social networking,red social
spreadsheet,hoja de cálculo
test tube,tubo de ensayo
theory,teoría
times,por
tone of voice,tono de voz
undo,reparar
update,actualizar
wave,ola
absurd,absurdo
bizarre,extraño
bother,molestarse en
breathtaking,imponente
cast,reparto
count on,contar con
delightful,encantador
depend on,depender de
dreadful,espantoso
entertaining,entretenido
exceptional,excepcional
fine,magnífico
focus on,centrarse en
go on,seguir
impressive,impresionante
log on,iniciar sesión
lyrics,letra
moving,conmovedor
mysterious,misterioso
outstanding,sobresaliente
plot,argumento
poor,malo
regret,lamentar
rely on,confiar en
remarkable,notable
scene,escena
set,ambientar
shot,toma
solo,en solitario
soundtrack,banda sonora
superb,soberbio
tend,tender a
tense,tenso
theme,tema
tremendous,formidable
work,obra
along with,junto con
ashamed of,avergonzado de
associated with,asociado con
capable of,capaz de
conscious of,consciente de
cruise,crucero
familiar with,familiarizado con
fed up with,harto de
get away,escaparse
have nothing to do with,no tener nada que ver con
in connection with,con relación a
in need of,con la necesidad de
in place of,en lugar de
in relation to,en relación con
in response to,en respuesta a
in terms of,en términos de
in view of,en vista de
involved in,involucrar en
means of transport,medios de transporte
no sign of,no hay señal de
obliged to,obligado a
obsessed with,obsesionado con
prepared to,preparado a
required to,se requiere que
sensitive to,sensible a
sort of,tipo de
be supposed to,se supone que
thanks to,gracias a
the trouble with,el problema con
tour operator,operador turístico
trekking,senderismo
voyage,viaje
wander,pasear
with regard to,en referencia a
admiration,admiración
broadcasting,emitir
commercial,anuncio
current affairs,actualidades
editor,editor
encouragement,ánimo
episode,episodio
gossip column,crónica de sociedad
headlines,titulares
make a name for oneself,hacerse un nombre
microphone,micrófono
network,cadena
presenter,presentador
press,prensa
privacy,intimidad
producer,productor
production,producción
promotion,promoción
publication,publicación
publicity,publicidad
quiz show,programa concurso
reality TV show,programa de telerrealidad
role model,ejemplo a seguir
scriptwriter,guionista
set designer,escenógrafo
tabloid,tabloide
acid rain,lluvia ácida
alternative,alternativa
bear in mind,tener presente
chemical,sustancia química
climate change,cambio climático
conservation,protección
cut down on,reducir
device,aparato
disposal,eliminación
extreme,intensísimo
freezing,helado
frost,helada / escarcha
generate,generar
global warming,calentamiento global
hi-tech/high-tech,de alta tecnología
in all,en total
in doubt,en tela de juicio
in due course,a su debido tiempo
in practice,en la práctica
in progress,en curso
in the long term,a largo plazo
in the meantime,mientras tanto
industrial waste,residuos industriales
mild,benigno / templado
mist,neblina
play a part in,tomar parte
poisonous,venenoso
process,procesar
regulation,normativa
severe,grave
shelter,cobijo
solar power,energía solar
substance,sustancia
substitute,sustituto
toxic,tóxico
tropical storm,tormenta tropical
at ease,a sus anchas
at first sight,a primera vista
balanced diet,dieta equilibrada
bargain,ganga
be attracted to,sentirse atraído por
break off,romper
break somebody’s heart,romperle el corazón a alguien
catering,hostelería
chop,cortar
consume,consumir
get on somebody’s nerves,poner a alguien de los nervios
go off,echarse a perder
heat up,calentar
in season,ser del tiempo
junk food,comida basura
keep somebody company,hacer compañía a alguien
leave somebody alone,dejar en paz a alguien
live on,vivir a base de
lose touch,perder el contacto
portion,porción
propose to,pedir en matrimonio
ripe,maduro
skip,saltarse
slice,cortar en rodajas
son-in-law,yerno
starving,hambriento
take somebody/something for granted,no saber valorar a alguien / dar algo por sentado
tough,duro
