o mundial,world championship
o parecer,"opinion, face value"
a restauração,restoration
a garganta,throat
a desgraça,misfortune
culminar,to culminate
datar,to date
contente,"contented, happy"
examinar,to examine
o estômago,stomach
o monarca,monarch
misterioso,mysterious
a vergonha,"embarrassment, shame"
hondurenho,honduran
a hipótese,hypothesis
prender,"to arrest, apprehend, catch"
lamentar,to regret
a febre,fever
a pena,feather
a poltrona,armchair
sucessivo,successive
a essência,essence
o tronco,(tree) trunk
a contribuição,contribution
conforme,according to
considerável,considerable
a capitalização,capitalization
consultar,to consult
o criador,creator
animar,"to liven up, cheer up, encourage"
o bispo,bishop
a opção,option
a angústia,anguish
classificar,to classify
dotar,"to endow, give a dowry"
escolher,"to choose, select, pick"
o pau,stick
namorar,"to court, flirt, date"
magro,slim
a tomada,electrical socket
doer,"to hurt, to ache"
o passeio,"outing, trip, walk"
projetar,"to project, design, plan"
o rival,rival
o narcotráfico,drug trafficking
mental,mental
o recipiente,recipient
por na cama,to put to bed
tropical,tropical
esperto,clever
a referência,reference
a instalação,installation
o comportamento,behavior
votar,to vote
permanente,permanent
a sede,"headquarters, head office"
primário,primary
o adulto,adult
a categoria,category
atacar,to attack
operar,to operate
relativo,"relative, in relation to"
a leitura,reading
a cozinha,kitchen
a intervenção,intervention
o gol,goal
municipal,municipal
o parlamento,parliament
proibir,"to ban, to prohibit, to forbid"
efetuar,"to make (a payment, purchase, calculation etc)"
o dono,owner
o trem,train
feminino,feminine
a mente,mind
o início,"start, initialisation"
a carteira,wallet
a comparação,comparison
martelar,to hammer
facilmente,easily
a petição,"request, petition"
a publicidade,publicity
o empréstimo,loan
o intérprete,interpreter
imitar,"to imitate, copy, mimic"
a depressão,depression
a exigência,"requirement, demand"
fracassar,"to fail completely, miss"
estético,aesthetic
a especialidade,specialty
a audiência,"hearing, audience  (legal or listening)"
o grão,grain
a Irlanda,Ireland
olímpico,olympic
o vendedor,"salesman, seller"
oculto,"cannot be seen, hidden, occult"
o gerente,manager
tomar banho,to take a bath
a barreira,barrier
infinito,infinite
extremamente,extremely
coincidir,to coincide
a lista,list
a proteção,protection
a fundação,foundation (Institution)
individual,individual
o gene,gene
a assinatura,signature
admitir,to admit
comigo,with me
o carro,car
a proteína,protein
temer,to fear
a oferta,offer
a ponte,bridge
a faculdade,faculty
ativo,active
a ponta,"tip, point"
a iniciativa,initiative
ir embora,"to leave, go away,"
a banda,band (musical)
o vôo,"flight (aeroplane, bird etc)"
o distrito,district
o motor,"motor, engine"
Honduras,Honduras
rapidamente,"quickly, rapidly"
elementar,elementary
adicional,additional
a engenharia,engineering
o privilégio,privilege
a Polônia,Poland
reiterar,to reiterate
nacionalista,nationalist
a criança,child
o mágico,magician
o indígena,"indigenous, native"
solto,"loose, free"
a cordilheira,mountain range
financiar,to finance
a fusão,fusion
a autonomia,autonomy
o superior,superior
a síntese,synthesis
a sinfonia,symphony
o passageiro,passenger
o fechamento,closure
pequeno,small
a trajetória,trajectory
vizinho,neighboring
pisar,to step
peruano,peruvian
o enfoque,focus
a celebração,celebration
divertir,to amuse
a modificação,modification
ilegal,illegal
o ideal,ideal
preparado,"prepared, ready to go"
a transição,transition
visível,visible
o perfil,profile
a bandeira,flag
a soberania,sovereignty
a precisão,precision
murmurar,to murmur
decorar,to decorate
a realização,realization
o sargento,sergeant
o mago,"sorcerer, wizard"
a cópia,copy (photocopy etc)
o eco,echo
a impressão,print
o talento,talent
a promessa,promise
o regulamento,"regulations, rules"
a romã,pomegranate
o monte,"piles, heaps, lots"
romântico,romantic
conceber,to conceive
carregado,loaded
a fortuna,fortune
eterno,eternal
o exemplar,"example, sample,"
a claridade,clarity
